,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,DAL,21,1046,966,52.0,-1.6,788,782,50.2,-2.6,10.9,91.9,102.,57.0,43.0
2,2008-09,DAL,22,1099,1012,52.1,1.2,850,778,52.2,0.9,10.3,87.5,97.8,56.6,43.4
3,2009-10,DAL,23,1007,913,52.4,3.4,760,698,52.1,2.7,5.8,91.7,97.5,56.3,43.7
4,2010-11,TOT,24,792,750,51.4,2.7,575,561,50.6,1.6,6.7,93.9,100.,55.1,44.9
5,2010-11,DAL,24,538,515,51.1,5.6,392,381,50.7,4.2,7.6,93.4,101.,55.2,44.8
6,2010-11,PIT,24,254,235,51.9,-5.0,183,180,50.4,-5.6,4.8,94.8,99.6,54.8,45.2
7,2011-12,PIT,25,1210,895,57.5,3.1,881,683,56.3,0.8,8.5,91.4,99.9,58.1,41.9
8,2012-13,PIT,26,682,642,51.5,4.2,511,472,52.0,3.8,7.9,93.2,101.,49.5,50.5
9,2013-14,PIT,27,1339,1163,53.5,6.9,989,869,53.2,5.8,10.1,93.3,103.,50.1,49.9
10,2014-15,WSH,28,1413,1300,52.1,1.2,1013,935,52.0,0.8,8.3,92.7,101.,51.4,48.6
11,2015-16,WSH,29,1450,1432,50.3,-0.7,1071,1017,51.3,0.2,8.1,92.7,100.,43.3,56.7
12,2016-17,WSH,30,343,309,52.6,1.1,258,242,51.6,1.6,6.4,93.0,99.4,51.1,48.9
