,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2007-08,DET,21,7,2,-2,0,0,0,0,0,0,0,0.0,10,0.0,10,7:00,3,0,2,0
2,2008-09,DET,22,16,4,-7,0,0,0,0,1,0,0,0.0,42,0.0,42,12:26,37,4,10,1
3,2009-10,DET,23,75,18,-2,8,0,3,3,13,0,0,6.7,279,6.7,279,14:30,185,48,38,30
4,2010-11,DET,24,82,16,9,10,0,2,2,19,0,1,6.8,289,6.8,289,13:18,128,30,46,20
5,2011-12,DET,25,68,12,5,9,0,0,2,17,0,0,7.3,248,7.3,248,14:31,97,27,27,18
6,2012-13,DET,26,1,2,0,0,0,0,0,0,0,0,0.0,4,0.0,4,12:27,4,0,1,1
7,2013-14,DET,27,42,14,2,9,1,2,3,8,0,0,14.5,151,14.5,151,15:10,73,16,17,13
8,2014-15,DET,28,75,12,7,10,3,2,1,14,4,0,9.4,270,9.4,270,15:50,132,25,33,22
9,2015-16,DET,29,77,32,-2,13,0,0,3,13,0,0,7.9,291,7.9,291,15:04,115,26,22,16
10,2016-17,DET,30,17,8,6,2,2,0,1,2,0,1,14.3,47,14.3,47,15:14,21,6,9,7
