,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2006-07,PIT,19,7,4,-3,0,2,0,0,0,0,0,25.0,,25.0,,11:33,,,,
2,2007-08,PIT,20,63,23,-1,5,1,0,3,3,8,0,8.8,157,8.8,157,18:10,79,75,16,39
3,2008-09,PIT,21,74,24,-7,5,4,1,3,16,7,0,7.2,276,7.2,276,21:09,111,127,23,54
4,2009-10,PIT,22,73,51,1,3,0,0,0,19,5,0,1.7,372,1.7,372,21:34,116,95,28,48
5,2010-11,PIT,23,82,101,15,4,4,0,2,21,20,1,3.4,464,3.4,464,24:02,167,109,39,52
6,2011-12,PIT,24,51,34,21,5,4,1,3,20,11,1,7.0,264,7.0,264,24:50,83,86,28,34
7,2012-13,PIT,25,35,8,16,4,1,0,1,21,12,0,5.3,184,5.3,184,25:38,45,59,12,34
8,2013-14,PIT,26,37,16,-8,5,6,0,1,5,6,0,10.2,190,10.2,190,24:14,43,51,9,39
9,2014-15,PIT,27,69,79,12,8,2,1,1,21,22,0,5.6,382,5.6,382,25:29,131,117,39,60
10,2015-16,PIT,28,71,66,9,11,5,0,2,26,22,3,7.3,398,7.3,398,26:57,135,122,47,69
11,2016-17,PIT,29,18,14,-5,1,1,0,1,5,5,0,3.3,114,3.3,114,26:01,38,33,16,23
