,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2006-07,MIN,20,3,0,-1,0,0,0,0,0,0,0,0.0,,0.0,,6:58,,,,
2,2007-08,MIN,21,11,0,-1,2,0,0,0,0,1,0,20.0,17,20.0,17,8:49,6,1,7,2
3,2008-09,MIN,22,37,18,1,3,2,0,1,4,2,0,14.7,56,14.7,56,11:51,21,2,12,15
4,2009-10,TOT,23,53,43,8,13,4,0,3,9,2,0,15.3,180,15.3,180,15:28,61,19,21,20
5,2009-10,MIN,23,14,12,0,2,0,0,0,2,0,0,10.5,36,10.5,36,11:56,15,0,2,4
6,2009-10,MTL,23,39,31,8,11,4,0,3,7,2,0,16.3,144,16.3,144,16:44,46,19,19,16
7,2010-11,MTL,24,79,87,2,12,1,0,4,17,0,0,10.1,213,10.1,213,11:32,110,20,26,14
8,2011-12,BOS,25,74,38,18,15,1,0,5,15,1,0,15.0,174,15.0,174,12:13,97,14,37,8
9,2012-13,TBL,26,34,15,8,8,0,0,1,9,3,0,13.3,100,13.3,100,13:14,35,6,18,16
10,2013-14,NYR,27,80,56,10,8,7,0,4,20,1,0,10.6,223,10.6,223,13:26,141,18,31,39
11,2014-15,EDM,28,58,28,-1,14,4,1,3,12,3,0,18.1,174,18.1,174,16:37,71,31,40,36
12,2015-16,EDM,29,55,30,-6,8,5,1,0,18,4,0,12.8,174,12.8,174,16:03,35,25,32,29
13,2016-17,EDM,30,21,20,-2,3,0,0,1,1,0,0,10.7,53,10.7,53,15:31,11,15,4,9
