,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,MIN,20,11,12,47.8,-13.,7,6,53.8,-2.0,0.0,100.,100.,70.0,30.0
2,2008-09,MIN,21,702,855,45.1,-5.8,540,649,45.4,-6.0,7.2,93.3,100.,32.0,68.0
3,2009-10,MIN,22,736,836,46.8,-4.7,554,627,46.9,-5.1,6.9,92.1,99.0,42.3,57.7
4,2010-11,MIN,23,772,928,45.4,-0.2,604,688,46.7,2.4,8.8,92.2,100.,39.3,60.7
5,2011-12,MIN,24,754,954,44.1,-1.6,568,687,45.3,-0.7,6.6,93.2,99.7,39.9,60.1
6,2012-13,MIN,25,394,411,48.9,-2.2,295,298,49.7,-1.7,4.7,92.4,97.1,41.4,58.6
7,2013-14,NYI,26,760,808,48.5,-3.2,564,567,49.9,-1.4,5.7,91.0,96.7,45.1,54.9
8,2014-15,NYI,27,760,729,51.0,-2.3,573,507,53.1,-1.4,5.8,92.2,98.1,40.3,59.7
9,2015-16,NYI,28,613,655,48.3,-1.4,447,480,48.2,-1.8,10.2,91.9,102.,40.0,60.0
10,2016-17,NYI,29,219,250,46.7,1.1,158,178,47.0,0.0,9.6,91.2,100.,39.6,60.4
