,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2008-09,FLA,20,79,22,10,20,1,0,2,13,11,0,13.3,251,13.3,251,14:48,46,24,36,35
2,2009-10,FLA,21,82,43,-4,16,5,0,1,17,5,0,9.6,369,9.6,369,17:29,72,32,41,30
3,2010-11,TOT,22,80,30,2,10,1,0,1,22,5,0,4.4,409,4.4,409,15:36,52,37,49,16
4,2010-11,FLA,22,52,16,2,7,1,0,1,16,5,0,5.1,272,5.1,272,16:02,31,23,28,9
5,2010-11,CHI,22,28,14,0,3,0,0,0,6,0,0,3.2,137,3.2,137,14:46,21,14,21,7
6,2011-12,CHI,23,63,22,-10,5,0,0,0,9,0,1,4.3,224,4.3,224,12:52,56,32,41,6
7,2012-13,CHI,24,45,8,5,3,0,0,1,7,0,0,3.1,160,3.1,160,12:31,32,23,42,6
8,2013-14,WPG,25,81,12,8,14,1,0,2,25,1,1,7.9,344,7.9,344,16:40,41,51,53,24
9,2014-15,WPG,26,82,18,4,13,3,3,4,19,4,0,9.2,374,9.2,374,17:30,63,42,58,35
10,2015-16,CGY,27,64,24,1,13,0,2,4,14,1,2,9.7,269,9.7,269,15:49,49,44,27,21
11,2016-17,CGY,28,26,10,2,4,0,2<,1,9,0,0,10.0,104,10.0,104,16:27,19,20,19,13
