,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2007-08,BOS,19,77,89,-2,7,1,0,4,17,2,0,9.1,153,9.1,153,12:07,179,28,21,14
2,2008-09,BOS,20,72,136,17,15,2,0,3,19,6,0,17.5,174,17.5,174,14:57,259,32,33,21
3,2009-10,BOS,21,50,44,-7,9,0,0,2,10,1,0,12.5,119,12.5,119,14:21,136,14,12,17
4,2010-11,BOS,22,79,121,28,25,5,0,7,23,9,0,17.3,340,17.3,340,16:35,167,22,27,43
5,2011-12,BOS,23,81,135,7,19,7,0,1,31,4,0,17.4,275,17.4,275,17:02,201,26,25,46
6,2012-13,BOS,24,46,75,8,7,0,0,0,18,2,0,8.9,172,8.9,172,16:55,139,16,20,37
7,2013-14,BOS,25,80,91,30,21,3,0,5,26,9,0,15.7,279,15.7,279,17:23,240,22,33,71
8,2014-15,BOS,26,81,81,13,16,2,0,4,20,6,0,12.8,275,12.8,275,16:21,259,23,31,46
9,2015-16,LAK,27,81,79,26,18,2,0,5,29,6,0,16.1,269,16.1,269,17:14,244,22,22,48
10,2016-17,EDM,28,24,11,1,5,2,0,1,6,4,0,12.3,102,12.3,102,18:09,66,8,7,15
