,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2007-08,TOR,19,58,14,-12,8,2,0,2,6,0,0,14.5,127,14.5,127,10:55,39,16,17,8
2,2008-09,TOR,20,14,0,0,0,0,0,0,4,0,0,0.0,39,0.0,39,12:42,5,5,3,5
3,2009-10,TOT,21,20,6,0,1,0,0,0,5,0,0,5.9,46,5.9,46,12:33,10,9,5,3
4,2009-10,TOR,21,2,0,-2,0,0,0,0,0,0,0,0.0,5,0.0,5,12:13,1,2,0,0
5,2009-10,CAR,21,18,6,2,1,0,0,0,5,0,0,6.7,41,6.7,41,12:36,9,7,5,3
6,2010-11,CAR,22,57,14,1,6,0,0,0,6,0,0,11.3,102,11.3,102,9:52,36,19,21,7
7,2011-12,CAR,23,79,26,1,15,2,0,1,14,4,1,12.5,226,12.5,226,14:54,83,57,31,20
8,2012-13,CAR,24,48,18,15,19,4,0,3,11,4,0,19.7,194,19.7,194,18:15,53,41,22,21
9,2013-14,CAR,25,68,22,2,14,0,2,5,13,1,0,12.2,238,12.2,238,15:10,88,38,26,19
10,2014-15,TOT,26,72,20,-18,8,6,0,0,13,4,0,11.4,230,11.4,230,16:01,82,39,30,21
11,2014-15,CAR,26,52,16,-17,7,6,0,0,7,3,0,13.4,186,13.4,186,17:12,64,27,24,18
12,2014-15,WPG,26,20,4,-1,1,0,0,0,6,1,0,3.8,44,3.8,44,12:57,18,12,6,3
13,2015-16,NJD,27,30,6,-1,1,1,0,0,1,1,0,5.3,64,5.3,64,13:43,39,13,8,4
