,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2009-10,MIN,21,3,0,-2,0,0,0,0,0,0,0,0.0,2,0.0,2,7:33,4,4,0,1
2,2010-11,MIN,22,22,6,-4,0,0,0,0,3,0,0,0.0,21,0.0,21,14:09,22,17,3,7
3,2011-12,MIN,23,47,54,-13,0,1,0,0,8,0,0,2.2,105,2.2,105,19:30,78,78,12,20
4,2012-13,MIN,24,36,40,-9,0,0,0,0,3,0,0,0.0,68,0.0,68,13:13,53,39,7,6
5,2013-14,NYR,25,21,20,-5,0,0,0,0,2,0,0,0.0,24,0.0,24,11:59,39,28,0,9
6,2014-15,TOT,26,18,14,-9,1,0,0,0,1,0,0,5.6,32,5.6,32,10:49,12,19,1,7
7,2014-15,MIN,26,13,7,-6,0,0,0,0,0,0,0,0.0,20,0.0,20,9:08,6,15,0,5
8,2014-15,CBJ,26,5,7,-3,1,0,0,0,1,0,0,12.5,12,12.5,12,15:13,6,4,1,2
9,2015-16,CBJ,27,24,17,2,0,0,0,0,4,0,0,0.0,44,0.0,44,14:14,37,38,3,9
10,2016-17,BUF,28,9,2,-1,0,0,0,0,0,0,0,0.0,13,0.0,13,13:06,15,3,1,2
