,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2007-08,CHI,19,64,44,11,17,7,0,4,13,15,2,16.7,217,16.7,217,18:40,27,13,29,8
2,2008-09,CHI,20,82,51,12,22,12,0,7,25,10,0,17.4,284,17.4,284,18:38,43,26,54,18
3,2009-10,CHI,21,76,47,22,15,9,1,3,27,13,3,12.4,297,12.4,297,20:00,56,33,69,24
4,2010-11,CHI,22,80,26,25,21,10,1,8,28,15,1,13.7,344,13.7,344,20:46,74,28,93,30
5,2011-12,CHI,23,59,28,17,23,5,1,4,19,7,2,15.7,257,15.7,257,20:51,32,14,82,25
6,2012-13,CHI,24,47,27,28,19,2,2,5,20,4,1,16.1,224,16.1,224,19:21,24,16,56,16
7,2013-14,CHI,25,76,34,26,20,5,3,5,28,10,2,14.5,284,14.5,284,20:28,29,20,51,30
8,2014-15,CHI,26,81,36,30,20,6,2,7,26,11,1,14.6,304,14.6,304,19:34,56,16,45,34
9,2015-16,CHI,27,80,62,16,18,6,4,8,24,3,3,15.6,278,15.6,278,19:15,81,38,57,28
10,2016-17,CHI,28,21,15,2,3,1,0,2,5,3,0,7.4,81,7.4,81,20:33,13,8,10,14
