,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2010-11,NYR,22,49,55,47.1,1.1,41,39,51.3,1.6,0.0,96.8,96.8,59.5,40.5
2,2011-12,VAN,23,405,508,44.4,-11.,300,386,43.7,-10.,6.1,95.1,101.,20.6,79.4
3,2012-13,VAN,24,235,306,43.4,-11.,177,231,43.4,-10.,4.8,92.2,97.0,41.5,58.5
4,2013-14,TOT,25,388,499,43.7,-6.3,288,344,45.6,-3.6,8.8,93.6,102.,41.6,58.4
5,2013-14,VAN,25,264,340,43.7,-7.8,196,244,44.5,-6.3,8.8,92.4,101.,42.8,57.2
6,2013-14,MTL,25,124,159,43.8,-3.0,92,100,47.9,2.3,9.0,97.0,105.,39.8,60.2
7,2014-15,MTL,26,764,926,45.2,-4.1,554,666,45.4,-4.3,10.9,95.2,106.,46.6,53.4
8,2015-16,TOT,27,806,726,52.6,0.7,577,530,52.1,0.3,8.0,92.4,100.,57.5,42.5
9,2015-16,MTL,27,693,631,52.3,-0.3,496,453,52.3,-0.4,7.5,91.9,99.4,55.6,44.4
10,2015-16,CHI,27,113,95,54.3,5.1,81,77,51.3,2.4,11.3,94.8,106.,67.1,32.9
11,2016-17,PHI,28,210,170,55.3,4.5,155,110,58.5,7.5,7.0,88.2,95.1,60.6,39.4
