,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2008-09,PHX,19,78,18,-6,9,2,0,3,17,0,0,9.5,205,9.5,205,15:32,76,9,41,8
2,2009-10,PHX,20,14,0,2,1,0,0,0,2,0,0,14.3,18,14.3,18,8:43,17,1,3,0
3,2010-11,PHX,21,34,8,11,4,0,0,0,8,2,0,10.3,76,10.3,76,10:54,42,6,7,3
4,2011-12,PHX,22,82,12,-2,11,0,0,2,12,1,0,12.8,174,12.8,174,13:38,108,21,29,14
5,2012-13,PHX,23,48,12,0,4,3,0,2,15,4,0,8.4,137,8.4,137,18:29,77,17,27,13
6,2013-14,PHX,24,82,20,-9,14,5,0,1,21,11,0,11.4,284,11.4,284,17:25,105,16,33,18
7,2014-15,ARI,25,45,6,-10,11,3,0,2,5,9,0,17.7,150,17.7,150,17:29,66,9,24,14
8,2015-16,TOT,26,80,12,-33,14,3,0,5,18,16,0,10.2,309,10.2,309,18:30,50,31,38,32
9,2015-16,ARI,26,62,10,-28,10,3,0,4,11,15,0,9.0,260,9.0,260,18:37,43,21,31,28
10,2015-16,COL,26,18,2,-5,4,0,0,1,7,1,0,18.2,49,18.2,49,18:07,7,10,7,4
11,2016-17,SJS,27,24,4,-4,2,0,0,0,2,0,0,8.7,55,8.7,55,14:36,16,6,8,15
