,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2008-09,ATL,18,47,47,11,6,2,1,1,7,3,0,10.0,184,10.0,184,18:06,67,50,32,21
2,2009-10,ATL,19,81,61,-18,6,3,1,0,9,3,1,6.5,339,6.5,339,21:25,196,124,41,52
3,2010-11,ATL,20,71,29,-27,5,0,0,1,8,4,0,3.2,303,3.2,303,22:24,111,89,31,53
4,2011-12,WPG,21,65,71,-3,4,1,0,0,19,6,0,3.3,349,3.3,349,23:19,117,109,17,41
5,2012-13,WPG,22,33,29,-5,5,0,0,0,6,3,0,5.9,172,5.9,172,23:07,79,50,12,28
6,2013-14,WPG,23,55,48,3,3,0,0,0,7,1,0,2.2,254,2.2,254,22:55,94,75,17,47
7,2014-15,TOT,24,62,78,-6,3,0,0,0,15,2,0,2.4,247,2.4,247,23:41,189,90,14,38
8,2014-15,WPG,24,41,40,1,3,0,0,0,9,1,0,4.1,151,4.1,151,22:10,106,47,9,34
9,2014-15,BUF,24,21,38,-7,0,0,0,0,6,1,0,0.0,96,0.0,96,26:39,83,43,5,4
10,2015-16,BUF,25,64,68,-11,4,3,0,1,13,3,1,5.8,218,5.8,218,22:21,86,98,17,21
11,2016-17,BUF,26,9,6,-2,0,0,0,0,0,0,0,0.0,17,0.0,17,18:59,6,15,4,5
