,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2010-11,CHI,19,1,0,-1,0,0,0,0,0,0,0,0.0,1,0.0,1,8:56,0,1,0,0
2,2011-12,CHI,20,5,0,2,0,0,0,0,2,0,0,0.0,12,0.0,12,13:31,5,2,5,2
3,2012-13,CHI,21,1,0,0,0,0,0,0,0,0,0,0.0,3,0.0,3,17:55,1,1,0,0
4,2013-14,TOT,22,49,8,6,10,3,0,0,9,3,0,16.3,159,16.3,159,12:59,24,15,16,7
5,2013-14,CHI,22,28,6,6,5,1,0,0,5,0,0,17.6,76,17.6,76,12:15,14,10,12,3
6,2013-14,FLA,22,21,2,0,5,2,0,0,4,3,0,15.2,83,15.2,83,13:56,10,5,4,4
7,2014-15,FLA,23,49,14,6,15,7,0,4,2,0,0,15.4,243,15.4,243,14:46,39,13,18,12
8,2015-16,TOT,24,61,30,-4,11,3,0,3,8,7,0,10.9,271,10.9,271,14:31,66,14,20,26
9,2015-16,FLA,24,52,30,-4,8,3,0,2,8,5,0,9.9,235,9.9,235,14:50,55,11,18,21
10,2015-16,ANA,24,9,0,0,3,0,0,1,0,2,0,17.6,36,17.6,36,12:44,11,3,2,5
11,2016-17,NYR,25,24,11,0,2,3,0,3,4,1,0,14.3,72,14.3,72,12:47,17,7,11,9
