Name,Year,Team,Number,NonAssistGoal,1stAssistGoal,2ndAssistGoal,1stAssist,2ndAssisted1stAssist,2ndAssist,NonAssistPlayers,1stAssistPlayers,2ndAssistPlayers
James Reimer,20132014,TOR,34,0,0,0,0,0,0,1,11,23
Tyler Bozak,20132014,TOR,42,0,4,7,6,12,9,2,7,8
Jake Gardiner,20132014,TOR,51,0,2,5,1,4,7,1,12,19
Phil Kessel,20132014,TOR,81,0,9,16,5,14,9,2,5,9
Carey Price,20132014,MTL,31,0,0,0,0,0,1,6,27,66
Francis Bouillon,20132014,MTL,55,0,0,2,1,0,2,2,11,10
Raphael Diaz,20132014,MTL,61,0,0,0,2,5,1,0,3,3
Lars Eller,20132014,MTL,81,1,2,5,1,6,5,1,1,5
Carl Gunnarsson,20132014,TOR,36,1,0,2,0,5,7,3,17,18
Carter Ashton,20132014,TOR,37,0,0,0,1,1,1,0,0,2
Nikolay Kulemin,20132014,TOR,41,1,1,6,1,4,4,1,4,5
Nazem Kadri,20132014,TOR,43,1,3,8,3,9,6,0,7,10
Brian Gionta,20132014,MTL,21,0,4,10,4,7,3,3,2,5
Jarred Tinordi,20132014,MTL,24,0,0,0,0,0,2,1,1,6
Max Pacioretty,20132014,MTL,67,2,6,15,2,7,3,0,7,7
Mason Raymond,20132014,TOR,12,0,5,6,4,9,6,3,3,6
Paul Ranger,20132014,TOR,15,0,1,4,3,2,2,0,5,10
Troy Bodie,20132014,TOR,40,0,0,3,2,1,4,0,1,4
Dave Bolland,20132014,TOR,63,1,0,4,0,2,0,0,2,0
Alex Galchenyuk,20132014,MTL,27,2,2,6,1,7,3,1,3,5
James van Riemsdyk,20132014,TOR,21,2,3,13,3,8,10,0,12,12
Josh Gorges,20132014,MTL,26,0,0,1,2,5,4,2,4,18
P.K. Subban,20132014,MTL,76,1,1,4,4,6,10,4,9,25
Joffrey Lupul,20132014,TOR,19,0,7,8,2,6,7,3,5,3
Andrei Markov,20132014,MTL,79,0,1,3,2,10,4,5,10,27
Karl Alzner,20132014,WSH,27,0,0,2,1,2,9,5,6,18
Joel Ward,20132014,WSH,42,2,1,13,2,5,14,1,5,9
Mike Green,20132014,WSH,52,0,1,5,1,8,8,2,9,15
Braden Holtby,20132014,WSH,70,0,0,0,0,0,1,5,18,64
Mikhail Grabovski,20132014,WSH,84,0,1,8,6,6,5,2,1,10
Jonathan Toews,20132014,CHI,19,2,5,12,1,14,11,3,4,15
Bryan Bickell,20132014,CHI,29,0,2,8,1,2,0,0,1,8
Michal Rozsival,20132014,CHI,32,0,1,0,0,3,4,2,4,17
Corey Crawford,20132014,CHI,50,0,0,0,0,0,0,6,27,79
Patrick Kane,20132014,CHI,88,1,3,15,1,15,9,2,3,8
Alex Ovechkin,20132014,WSH,8,0,6,20,0,9,2,0,0,5
Nicklas Backstrom,20132014,WSH,19,1,2,8,2,5,14,2,5,7
Connor Carrick,20132014,WSH,58,0,0,1,0,0,5,1,1,7
Marcus Johansson,20132014,WSH,90,0,0,2,2,16,3,1,5,9
Brandon Saad,20132014,CHI,20,1,1,13,2,13,3,5,6,14
Michal Handzus,20132014,CHI,26,0,0,3,1,3,7,1,2,2
Johnny Oduya,20132014,CHI,27,0,0,3,1,3,8,6,11,19
Marian Hossa,20132014,CHI,81,2,1,16,3,9,8,2,5,8
Troy Brouwer,20132014,WSH,20,1,1,9,0,4,5,4,6,5
Brooks Laich,20132014,WSH,21,0,3,3,1,2,1,1,3,7
Jack Hillen,20132014,WSH,38,0,0,0,0,1,0,0,0,2
Marcus Kruger,20132014,CHI,16,1,1,6,5,6,6,0,0,4
Joakim Nordstrom,20132014,CHI,42,0,1,0,1,1,0,0,0,2
Brandon Bollig,20132014,CHI,52,0,3,4,0,5,1,1,3,11
Jason Chimera,20132014,WSH,25,0,2,12,2,14,6,3,4,7
Jimmy Hayes,20132014,CHI,22,0,0,0,0,0,0,0,0,1
Andrew Shaw,20132014,CHI,65,1,3,11,0,5,9,4,8,15
Andrew Ladd,20132014,WPG,16,1,3,14,3,7,10,1,3,10
Bryan Little,20132014,WPG,18,0,2,10,4,11,12,3,3,12
Blake Wheeler,20132014,WPG,26,1,3,12,3,17,10,1,4,6
Ondrej Pavelec,20132014,WPG,31,0,0,0,0,0,0,5,22,70
Zach Bogosian,20132014,WPG,44,0,0,3,0,4,2,3,10,20
Taylor Hall,20132014,EDM,4,1,5,14,5,15,19,0,1,3
