Name,Year,Team,Number,NonAssistGoal,1stAssistGoal,2ndAssistGoal,1stAssist,2ndAssisted1stAssist,2ndAssist,NonAssistPlayers,1stAssistPlayers,2ndAssistPlayers
Carey Price,20142015,MTL,31,0,0,0,0,0,0,0,1,34
Mike Weaver,20142015,MTL,43,0,0,0,0,0,0,0,0,0
Andrei Markov,20142015,MTL,79,0,0,4,0,14,7,0,1,7
Lars Eller,20142015,MTL,81,0,1,0,0,0,0,0,0,2
James van Riemsdyk,20142015,TOR,21,0,0,9,0,7,3,1,1,14
Tyler Bozak,20142015,TOR,42,0,1,11,0,4,2,1,0,16
Jonathan Bernier,20142015,TOR,45,0,0,0,0,0,0,1,1,26
Stuart Percy,20142015,TOR,50,0,0,0,1,1,0,0,0,0
Phil Kessel,20142015,TOR,81,1,0,7,0,8,9,0,1,9
Michael Raffl,20142015,PHI,12,0,0,2,0,0,0,0,0,1
PHI,18,0,0,2,0,0,0,0,0,2
Steve Mason,20142015,PHI,35,0,0,0,0,0,0,0,1,35
Andrew MacDonald,20142015,PHI,47,0,0,1,0,2,2,0,0,2
Loui Eriksson,20142015,BOS,21,0,0,6,1,2,2,1,2,11
Dougie Hamilton,20142015,BOS,27,0,3,2,0,4,6,1,0,4
Carl Soderberg,20142015,BOS,34,0,0,5,0,3,0,1,2,6
Patrice Bergeron,20142015,BOS,37,1,0,3,1,5,4,0,2,9
Tuukka Rask,20142015,BOS,40,0,0,0,0,0,0,1,3,27
Christopher Tanev,20142015,VAN,8,0,0,0,0,0,2,0,0,3
Nick Bonino,20142015,VAN,13,0,0,1,0,1,3,0,0,2
Alexandre Burrows,20142015,VAN,14,0,0,4,0,3,1,1,0,4
Chris Higgins,20142015,VAN,20,0,0,3,0,2,0,0,0,1
Ryan Miller,20142015,VAN,30,0,0,0,0,0,0,2,3,24
Mikael Backlund,20142015,CGY,11,0,0,0,0,0,1,0,0,2
Ladislav Smid,20142015,CGY,15,0,0,0,0,0,0,0,0,0
Lance Bouma,20142015,CGY,17,0,0,0,0,1,0,0,0,0
Deryk Engelland,20142015,CGY,29,0,0,0,0,0,0,0,0,0
Antti Niemi,20142015,S.J,31,0,0,0,0,0,0,0,0,42
Logan Couture,20142015,S.J,39,0,0,6,0,7,11,0,1,16
Marc-Edouard Vlasic,20142015,S.J,44,0,0,0,0,0,3,0,0,4
Matt Nieto,20142015,S.J,83,0,0,0,0,1,2,0,0,2
Brent Burns,20142015,S.J,88,0,0,7,0,9,8,0,1,18
