Name,Year,Team,Number,NonAssistGoal,1stAssistGoal,2ndAssistGoal,1stAssist,2ndAssisted1stAssist,2ndAssist,NonAssistPlayers,1stAssistPlayers,2ndAssistPlayers
Tomas Plekanec,20142015,MTL,14,1,3,21,4,16,14,2,3,12
Alex Galchenyuk,20142015,MTL,27,0,3,17,1,14,11,3,6,17
Nathan Beaulieu,20142015,MTL,28,0,0,1,0,4,4,3,5,15
Carey Price,20142015,MTL,31,0,0,0,0,0,1,12,32,130
Mike Weaver,20142015,MTL,43,0,0,0,0,0,4,1,4,7
Nazem Kadri,20142015,TOR,43,0,2,16,2,9,10,3,5,17
Jonathan Bernier,20142015,TOR,45,0,0,0,0,0,1,15,30,86
Roman Polak,20142015,TOR,46,0,2,3,0,1,3,4,7,15
Stuart Percy,20142015,TOR,50,0,0,0,1,2,0,1,1,2
Brandon Kozun,20142015,TOR,67,0,0,2,0,1,1,1,0,1
Alexei Emelin,20142015,MTL,74,0,0,3,1,2,8,3,8,18
P.K. Subban,20142015,MTL,76,0,1,14,5,16,24,9,14,40
Tyler Bozak,20142015,TOR,42,3,1,19,3,13,10,3,8,24
Morgan Rielly,20142015,TOR,44,2,2,4,0,11,10,5,12,20
Jake Gardiner,20142015,TOR,51,1,1,2,2,5,13,2,7,23
Phil Kessel,20142015,TOR,81,1,3,20,3,14,19,2,4,16
Jeff Petry,20142015,Jiri Sekac,20142015,MTL,26,1,1,8,2,3,8,0,3,11
Lars Eller,20142015,MTL,81,0,6,9,4,4,4,4,3,8
Leo Komarov,20142015,TOR,47,0,5,3,5,7,6,2,4,3
David Clarkson,20142015,TOR,71,0,1,9,0,1,4,4,1,11
David Desharnais,20142015,MTL,51,2,1,11,5,11,18,4,4,25
Max Pacioretty,20142015,MTL,67,0,8,29,2,14,13,4,6,15
Stephane Robidas,20142015,TOR,12,0,1,0,1,0,5,3,10,11
Joffrey Lupul,20142015,TOR,19,1,0,9,2,5,4,4,7,10
Andrei Markov,20142015,MTL,79,1,3,6,2,22,16,7,14,45
James van Riemsdyk,20142015,TOR,21,2,5,20,2,21,6,2,3,20
Tom Gilbert,20142015,MTL,77,1,1,2,0,3,5,4,10,24
Sean Couturier,20142015,PHI,14,2,5,8,1,12,9,1,3,19
Matt Read,20142015,PHI,24,0,1,7,2,10,10,1,2,15
Steve Mason,20142015,PHI,35,0,0,0,0,0,3,3,12,94
Andrew MacDonald,20142015,PHI,47,0,0,2,0,4,6,2,6,17
Jakub Voracek,20142015,PHI,93,2,1,19,3,28,28,0,2,23
Dougie Hamilton,20142015,BOS,27,0,4,6,4,7,21,4,6,25
Zdeno Chara,20142015,BOS,33,0,1,7,1,4,7,1,11,30
Carl Soderberg,20142015,BOS,34,2,0,11,2,17,12,4,5,17
