"","Name","pos","Team","Gm","season","Age","Salary","AAV","HIT","HIT-","A1","A2","SH","MS","BK","AB","GV","TK","PN","PN-","PenD60","TOI","TOIoff","TOI%"
"charazd7720112012","Zdeno.Chara","D","BOS",79,20112012,34,"8.500","6.917",128,100,10,14,140,52,93,67,49,17,19,9,-0.41,1461.86,2355.09,38.3
"williju8120112012","Justin.Williams","R","L.A",81,20112012,29,"3.900","3.650",32,152,14,12,176,68,67,31,48,29,12,17,0.27,1120.43,2648.88,29.73
"seguity9220112012","Tyler.Seguin","CR","BOS",81,20112012,19,"0.900","0.900",23,44,15,13,179,72,78,14,31,27,13,18,0.27,1124.1,2788.43,28.73
"bergepa8520112012","Patrice.Bergeron","C","BOS",81,20112012,26,"5.900","5.000",68,84,21,8,125,67,65,49,19,45,5,17,0.66,1092.88,2818.99,27.94
"kopitan8720112012","Anze.Kopitar","C","L.A",81,20112012,24,"6.400","6.800",58,114,16,11,132,63,60,26,36,58,7,14,0.36,1180.75,2588.56,31.33
"marchbr8820112012","Brad.Marchand","L","BOS",76,20112012,23,"2.000","2.500",68,94,10,12,103,36,55,15,36,31,10,16,0.35,1036.18,2621.79,28.33
"kunitch7920112012","Chris.Kunitz","L","PIT",82,20112012,31,"4.000","3.725",156,82,11,10,151,64,55,25,24,20,9,11,0.1,1158.17,2705.08,29.98
"sedinda8020112012","Daniel.Sedin","L","VAN",72,20112012,30,"6.100","6.100",20,49,13,9,144,61,64,12,17,25,13,6,-0.41,1021.47,2354,30.26
"sedinhe8020112012","Henrik.Sedin","C","VAN",82,20112012,30,"6.100","6.100",30,39,24,18,69,23,38,17,25,26,20,10,-0.52,1159.2,2674.19,30.24
"boychjo8420112012","Johnny.Boychuk","D","BOS",77,20112012,27,"2.000","1.875",121,160,7,3,142,66,97,111,28,5,7,7,0,1313.35,2398.35,35.38
"datsypa7820112012","Pavel.Datsyuk","CL","DET",70,20112012,33,"6.700","6.700",66,86,17,11,109,47,54,24,32,83,3,14,0.67,981.77,2327.93,29.66
"burroal8120112012","Alex.Burrows","RL","VAN",80,20112012,30,"2.000","2.000",81,119,13,4,134,59,54,15,19,27,12,14,0.11,1104.99,2651.35,29.42
"karlser9020112012","Erik.Karlsson","D","OTT",81,20112012,21,"0.875","0.875",55,91,16,14,170,62,151,55,63,59,16,12,-0.15,1570.33,2233.12,41.29
"lidstni7020112012","Nicklas.Lidstrom","D","DET",70,20112012,41,"6.200","6.200",28,31,3,5,82,39,50,56,12,16,11,1,-0.5,1210.03,2088.28,36.69
"malkiev8620112012","Evgeni.Malkin","CR","PIT",75,20112012,25,"9.000","8.700",25,121,28,7,167,53,63,35,47,48,19,33,0.73,1150.51,2403.19,32.37
"browndu8420112012","Dustin.Brown","LR","L.A",81,20112012,26,"3.500","3.175",230,123,12,10,133,64,78,19,33,26,14,37,1.2,1147.58,2621.72,30.45
