"","Name","pos","Team","Gm","season","Age","Salary","AAV","HIT","HIT-","A1","A2","SH","MS","BK","AB","GV","TK","PN","PN-","PenD60","TOI","TOIoff","TOI%"
"abdelju8720122013","Justin.Abdelkader","RL","DET",48,20122013,25,"1.400","1.800",2,3,0,0,4,3,0,0,1,1,2,1,-1.87,32.02,262.65,10.87
"adamscr7720122013","Craig.Adams","C","PIT",47,20122013,35,"0.625","0.675",0,0,0,0,1,0,0,0,0,0,1,0,-40.91,1.47,262.46,0.56
"adamxlu9020122013","Luke.Adam","L","BUF",4,20122013,22,"0.787","0.738",0,0,0,0,1,0,0,0,0,0,0,0,0,2.27,20.18,10.13
"akesoja9020122013","Jason.Akeson","R","PHI",1,20122013,22,"0.715","0.715",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,2.35,0
"alberan8120122013","Andrew.Alberts","D","VAN",23,20122013,31,"1.225","1.225",0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,114.12,0.13
"alfreda7220122013","Daniel.Alfredsson","R","OTT",46,20122013,39,"1.000","4.875",3,8,3,5,26,9,17,0,6,0,1,0,-0.43,138.82,109.15,55.98
"aliuxak8920122013","Akim.Aliu","R","CGY",4,20122013,23,"0.695","0.695",0,2,0,0,0,0,0,0,0,0,0,0,0,3.47,19.51,15.09
"allenbr8020122013","Bryan.Allen","D","ANA",41,20122013,32,"3.500","3.500",0,0,0,0,0,0,0,0,0,0,0,1,22.09,2.72,178.85,1.5
"alzneka8820122013","Karl.Alzner","D","WSH",48,20122013,23,"1.270","1.285",0,0,0,0,0,0,0,0,0,0,1,0,-14.52,4.13,248.53,1.64
"anderjo8920122013","Joakim.Andersson","C","DET",38,20122013,23,"0.637","0.613",0,0,0,1,1,1,0,0,0,0,0,0,0,8.16,200.78,3.9
"anderma8220122013","Matt.Anderson","R","N.J",2,20122013,29,"0.525","0.525",0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,18.26,0.5
"angelmi8520122013","Mike.Angelidis","L","T.B",1,20122013,27,"0.525","0.525",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,5.62,0
"anisiar8820122013","Artem.Anisimov","C","CBJ",35,20122013,24,"1.875","1.875",0,3,0,0,11,1,4,0,1,0,0,0,0,57.53,128.1,30.99
"antroni8020122013","Nik.Antropov","RC","WPG",39,20122013,32,"4.750","4.062",5,3,1,0,3,1,1,0,3,1,2,1,-0.87,68.96,120.72,36.35
"arcobma8820122013","Mark.Arcobello","CR","EDM",1,20122013,24,"0.640","0.627",0,0,0,0,0,0,0,0,0,0,0,0,0,2.83,3.23,46.63
"armstco8220122013","Colby.Armstrong","RL","MTL",37,20122013,29,"1.000","1.000",0,0,0,0,0,0,0,0,0,0,1,0,-23.45,2.56,240.42,1.05
"ashamar7820122013","Arron.Asham","R","NYR",27,20122013,34,"1.000","1.000",0,1,0,0,0,0,0,0,0,0,1,0,-14.66,4.09,151.65,2.63
"atkinca8920122013","Cam.Atkinson","R","CBJ",35,20122013,23,"0.838","0.775",2,0,1,0,2,2,3,0,1,0,0,0,0,46.24,118.27,28.11
